1-900,5
2 Days in the Valley,5.9
"20,000 Leagues Under the Sea",6.9
2001: A Space Odyssey,7.9
"301, 302",6.2
8 Seconds,7.2
A Boy Called Hate,6
A Bronx Tale,7.4
A Close Shave,7.5
A Family Thing,5.6
A Farewell to Arms,6.2
A Good Man in Africa,5.2
A Goofy Movie,6.7
A Great Day in Harlem,7
A Hungarian Fairy Tale,0
A Kid in King Arthur's Court,4.3
A Little Princess,7.4
A Low Down Dirty Shame,6
A Man of No Importance,6.5
A Midwinter's Tale,7.5
A Modern Affair,5
A Month by the Lake,7.2
A Perfect World,7.2
A Pyromaniac's Love Story,7
A Simple Twist of Fate,5.7
A Thin Line Between Love and Hate,5.7
A Time to Kill,7
A Very Brady Sequel,5.8
A Very Natural Thing,6.3
A Walk in the Clouds,6.5
A Walk in the Sun,5.2
Above the Rim,6.7
Ace Ventura: Pet Detective,6.4
Ace Ventura: When Nature Calls,6.1
Across the Sea of Time,3.5
Addams Family Values,6.5
Airheads,5.8
Aladdin,7.4
Alaska,5.2
Algiers,5.8
All About Eve,8
All Dogs Go to Heaven 2,5
All Things Fair,6.1
Alphaville,6.8
Amateur,6.5
American Buffalo,6.2
An Affair to Remember,7.1
An American in Paris,6.9
An Awfully Big Adventure,6
An Unforgettable Summer,7.2
Andre,5
Angel and the Badman,6.6
Angel on My Shoulder,5.7
Angela,5.6
Angels and Insects,6.3
Angels in the Outfield,5.7
Angus,6.8
Anne Frank Remembered,7.3
Another Stakeout,4.9
Antonia's Line,7.2
Apollo 13,7.3
Around the World in Eighty Days,6.5
Ashes of Time,7.1
Assassins,6
August,5.3
Babe,6
Babyfever,0
Backbeat,6.2
Bad Boys,6.5
Bad Company,4.9
Bad Girls,4.6
Balto,7.1
Barb Wire,3.9
Barbarella,5.7
Barcelona,6.6
Basquiat,6.6
Batman,7
Batman Forever,5.2
Baton Rouge,0
Beat the Devil,6.2
Beautiful Girls,6.6
Beauty and the Beast,7.5
Bed of Roses,5.1
Before and After,5.8
Before Sunrise,7.7
Before the Rain,7.7
Being Human,5
Belle de Jour,7.3
Beverly Hills Cop III,5.5
Beyond Bedlam,4
Beyond Rangoon,6.4
Bhaji on the Beach,5.1
Big Bully,3.9
Big Night,6.8
Billy Madison,6.2
Billy's Holiday,0
Bio-Dome,4.4
Bitter Moon,7
Black Beauty,6.6
Black Sheep,6
Blade Runner,7.9
Blink,6.3
Bliss,4.8
Bloodsport II,5.2
Blown Away,6
Blue Chips,5.7
Blue in the Face,6.8
Blue Sky,6.1
Body Snatchers,5.8
Bogus,5.4
Boomerang,5.4
Bordello of Blood,5
Bottle Rocket,6.8
Bound,6.9
Boxing Helena,4.5
Boys,5.3
"Boys Life: Three Stories of Love, Lust, and Liberation",2
Boys on the Side,6.3
Braveheart,7.7
Bread and Chocolate,7.1
Breakfast at Tiffany's,7.6
Bringing Up Baby,7.6
Broken Arrow,5.7
Brother Minister: The Assassination of Malcolm X,4
Brother of Sleep,6.8
Brothers in Trouble,0
Bulletproof,5.4
Bullets Over Broadway,7
Burnt by the Sun,6.7
Bushwhacked,4.9
Butterfly Kiss,7.4
Bye Bye Love,6.1
Bye-Bye,7.7
Cabin Boy,4.9
Café au Lait,6.8
Calendar Girl,3.7
Canadian Bacon,5.9
Candyman: Farewell to the Flesh,5
Captives,6
Careful,7.8
Carlito's Way,7.7
Carmen Miranda: Bananas Is My Business,10
Carpool,4.9
Carried Away,5.4
Carrington,6.4
Casablanca,7.9
Casino,7.8
Casper,6
Castle Freak,5.8
Cat on a Hot Tin Roof,7.6
Catwalk,7
Caught,6.5
Celtic Pride,4.9
Cemetery Man,7
Century,5
Chain Reaction,5.3
Charade,7.7
Chasers,4.7
Chungking Express,7.9
"Ciao, Professore!",7.2
Cinderella,6.8
Circle of Friends,6.5
Citizen Kane,8
City Hall,6
City Slickers II: The Legend of Curly's Gold,4.9
Clean Slate,5.7
Clear and Present Danger,6.4
Clerks,7.4
Cliffhanger,6.1
Clockers,6.8
Clueless,6.9
Cobb,6.1
Cold Comfort Farm,7
Cold Fever,7.7
Coldblooded,6.7
Colonel Chabert,5.9
Color of Night,5.4
Condition Red,4.7
Coneheads,4.8
Congo,5
Cool Runnings,6.8
Cops & Robbersons,5
Copycat,6.5
"Corrina, Corrina",6.4
Cosi,7.1
Country Life,8
Coup de Torchon,6.8
Courage Under Fire,6.2
Crimson Tide,7
Cronos,6.4
Crooklyn,6.7
Crows and Sparrows,5
Crumb,7.6
"Cry, the Beloved Country",6.7
Curdled,6.2
Cutthroat Island,5.7
Cyclo,6.8
D3: The Mighty Ducks,5.3
Dances with Wolves,7.6
Dangerous Game,5.4
Dangerous Ground,5
Dangerous Minds,6.4
Dave,6.3
"Davy Crockett, King of the Wild Frontier",5.9
Daylight,5.8
Dazed and Confused,7.4
Dead Man,7.2
Dead Man Walking,7.3
Dead Presidents,6.6
Dear Diary,6.9
Death and the Maiden,7.1
Death in Brunswick,6.1
Death in the Garden,7.4
Delta of Venus,3.3
Demolition Man,6.4
Denise Calls Up,6.6
Desert Winds,0
Desperado,6.8
Destiny Turns on the Radio,5.3
Devil in a Blue Dress,6.3
Diabolique,5.4
Die Hard: With a Vengeance,6.9
Diebinnen,4
Dingo,6
Disclosure,5.9
Dolores Claiborne,7.1
Don Juan DeMarco,6.3
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2
Dos Crímenes,5
Double Happiness,5.5
Down Periscope,5.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8
Dracula: Dead and Loving It,5.7
DragonHeart,6.4
Dream Man,2.5
Drop Zone,5.1
Dumb and Dumber,6.5
Dunston Checks In,5.1
East of Eden,7.5
Eat Drink Man Woman,7.5
Ed,3.6
Ed Wood,7.3
Ed's Next Move,3
Eddie,5.4
Emma,6.7
Eraser,5.6
Escape from L.A.,5.6
Escape to Witch Mountain,6.5
Even Cowgirls Get the Blues,4.2
Every Other Weekend,6
Executive Decision,5.8
Exit to Eden,4.3
Exotica,6.5
Extreme Measures,5.7
Eye for an Eye,5.8
Eyes Without a Face,7.5
Faces,7.1
Fair Game,4.1
Faithful,4.8
Fall Time,6.3
Far from Home: The Adventures of Yellow Dog,5.6
Farewell My Concubine,7.8
Fargo,7.7
Farinelli,5.9
"Faster, Pussycat! Kill! Kill!",6.5
Fatal Instinct,5.4
Father of the Bride,6.6
Father of the Bride Part II,5.7
Fear,6.1
Fear of a Black Hat,5.8
Fearless,6.8
Feast of July,0
Federal Hill,5
Feeling Minnesota,5.5
First Kid,5.3
First Knight,5.9
Fled,5.2
Flesh and Bone,6.2
Flipper,5.3
Flirt,7.5
Flirting with Disaster,6.3
Fluke,6.6
Fly Away Home,6.6
For Love or Money,5.7
For Whom the Bell Tolls,6.1
Force of Evil,6.6
Foreign Correspondent,7
Foreign Student,0
Forget Paris,6.1
Forrest Gump,8.2
Four Rooms,6.5
Four Weddings and a Funeral,6.6
Foxfire,6.3
Frank and Ollie,7.5
Frankie Starlight,5.4
Free Willy,6
Free Willy 2 - The Adventure Home,5.5
French Kiss,6.2
French Twist,6
Fresh,7.6
Friday,7
Frisk,3
From Dusk Till Dawn,6.9
From the Journals of Jean Seberg,6.5
Funny Face,7
Gaslight,7.2
Georgia,6.1
Germinal,6.3
Geronimo: An American Legend,5.9
Get Shorty,6.4
Getting Away with Murder,5.5
Getting Even with Dad,4.5
Ghost,6.9
Ghost in the Shell,7.8
Giant,7.5
Gigi,6.1
Girl 6,5.7
Girl in the Cadillac,10
Girls Town,5.2
Go Fish,3.9
God's Gift,5
Gold Diggers: The Secret of Bear Mountain,5.8
Golden Earrings,4.8
GoldenEye,6.6
Gone Fishin',4.7
Gone with the Wind,7.7
Gordy,3
Grace of My Heart,6.5
Grumpier Old Men,6.5
Guardian Angel,6.3
Guilty as Sin,5.6
Gumby: The Movie,5
Hackers,6.2
Halfaouine: Boy of the Terraces,7.4
Halloween: The Curse of Michael Myers,5
Happiness Is in the Field,7
Happy Gilmore,6.5
Happy Weekend,0
Hard Target,6.1
Harem,4
Harriet the Spy,5.7
Headless Body in Topless Bar,0
Heat,7.7
Heaven & Earth,6.4
Heaven's Prisoners,5
Heavenly Creatures,6.9
Heavy,7.7
Heavy Metal,6.3
Heavyweights,6
Hedd Wyn,6.5
Heidi Fleiss: Hollywood Madam,6.8
Hellraiser: Bloodline,4.9
Herbie Rides Again,5.9
Hideaway,5
High School High,5.4
Higher Learning,6.4
Highlander: The Final Dimension,4.5
His Girl Friday,7.5
Homage,0
Home Alone,7.1
Home for the Holidays,6.3
Homeward Bound II: Lost in San Francisco,6
Homeward Bound: The Incredible Journey,6.6
Honeymoon,0
Hoop Dreams,7.7
Hostile Intentions,8
Hot Shots! Part Deux,6.2
House Arrest,5
House Party 3,4.6
Houseguest,6
How To Make An American Quilt,6.5
I Don't Want to Talk About It,6
I Like It Like That,6.3
I Love Trouble,5.3
I Shot Andy Warhol,6.1
"I, the Worst of All",6.8
I.Q.,5.9
I'll Do Anything,5.7
If Lucy Fell,5.4
Immortal Beloved,6.9
In the Army Now,4.7
In the Line of Fire,6.8
In the Mouth of Madness,7.1
In the Name of the Father,7.6
In the Realm of the Senses,6.5
Independence Day,6.7
Infinity,0
"Institute Benjamenta, or This Dream People Call Human Life",7.7
Interview with the Vampire,7.2
It Could Happen to You,6.1
It Happened One Night,7.7
It Takes Two,6.1
It's a Wonderful Life,8
It's My Party,6.2
Jack,5.9
Jack & Sarah,5.1
Jade,5.1
James and the Giant Peach,6.2
Jane Eyre,7.1
Jason's Lyric,5.9
Jaws,7.5
Jefferson in Paris,5.2
Jeffrey,6.5
Jimmy Hollywood,4.6
Joe's Apartment,5
Johnny Mnemonic,5.5
Judge Dredd,5.4
Judgment Night,6.4
Jumanji,6.9
Junior,4.7
Jupiter's Wife,0
Jurassic Park,7.6
Jury Duty,4
Just Cause,6
Kalifornia,6.5
Kansas City,6.1
Kaspar Hauser,6.3
Kazaam,3.6
Kicking and Screaming,7
Kids,6.8
Kids in the Hall: Brain Candy,5.9
Kids of the Round Table,3
Kika,6.8
Killer,3
Killer: A Journal of Murder,6.3
Killing Zoe,6.1
Kim,7
King of the Hill,6.4
Kingpin,6.7
Kiss of Death,5.7
L'associé,6
L'Enfer,6.6
La Collectionneuse,6.5
La Haine,7.9
Lady of Burlesque,5
Ladybird Ladybird,7.4
Lamerica,7.7
Land and Freedom,7
Larger Than Life,5.4
Lassie,6.1
Last Action Hero,6.1
Last Dance,5.6
Last Man Standing,6.2
Last Summer in the Hamptons,0
Laura,7.6
Lawnmower Man 2: Beyond Cyberspace,2.8
Le Garçu,5
Leaving Las Vegas,7.1
Legends of the Fall,7.2
Leon: The Professional,8.2
Les Miserables,6.6
Liebelei,6.3
Life is Rosy,6.5
Life With Mikey,5.1
Lightning Jack,5.7
Like Water for Chocolate,6.6
Little Big League,6
Little Buddha,6
"Little Indian, Big City",6
Little Lord Fauntleroy,6.6
Little Odessa,6.4
Little Women,7
Live Nude Girls,4.7
Living in Oblivion,7.2
Loaded,4
Lone Star,6.9
Lord of Illusions,5.9
Losing Isaiah,6.4
Lost Horizon,6.8
Lotto Land,7
Love & Human Remains,7
Love Affair,4.3
Love and a .45,5.5
Love in the Afternoon,7.3
Lover's Knot,4
M. Butterfly,6.6
Mad Love,5.5
Madagascar Skin,0
Made in America,5.3
Magic Hunter,6
Major Payne,6.1
Malice,5.9
Mallrats,6.8
Man of the House,5.1
Man of the Year,3.8
Manhattan Murder Mystery,7.1
Manny & Lo,6.3
Margaret's Museum,7.5
Martin Lawrence: You So Crazy,4.5
Mary Poppins,7.4
Mary Reilly,5.7
Mary Shelley's Frankenstein,6.1
Matilda,6.9
Maverick,6.6
Maximum Risk,5.3
Maya Lin: A Strong Clear Vision,0
Maybe... Maybe Not,6.1
Meet John Doe,7.3
Meet Me in St. Louis,6.8
Menace II Society,7.2
Mi Vida Loca,5.7
Miami Rhapsody,5.6
Michael Collins,6.8
Midnight Dancers,7
Mighty Aphrodite,6.7
Mighty Morphin Power Rangers: The Movie,5.2
Milk Money,5.6
Mille bolle blu,6
Miracle on 34th Street,6.4
Mirage,4
Mission: Impossible,6.7
Mixed Nuts,5.2
Moll Flanders,6.2
Money Train,5.4
Moonlight and Valentino,5.6
Moonlight Murder,6
Mortal Kombat,5.4
Mother Night,7.1
Mouth to Mouth,5.5
Mr. Holland's Opus,6.9
Mr. Jones,5.9
Mr. Smith Goes to Washington,7.9
Mr. Wonderful,5.5
Mr. Wrong,3.3
Mrs. Doubtfire,7
Mrs. Parker and the Vicious Circle,6.3
Mrs. Winterbourne,5.5
Much Ado About Nothing,7.2
Mulholland Falls,6.2
Multiplicity,5.5
Muppet Treasure Island,6.5
Murder in the First,6.9
Muriel's Wedding,6.9
Mute Witness,6.4
My Fair Lady,7.4
My Family,7
My Favorite Season,6.4
My Favorite Year,7.1
My Life and Times With Antonin Artaud,8
My Man Godfrey,7.7
My Mother's Courage,0
Mystery Science Theater 3000: The Movie,7
Nadja,5.9
Naked,7.5
Naked in New York,4
Natural Born Killers,6.9
Nell,6.1
Nelly and Monsieur Arnaud,7.1
Nemesis 2 - Nebula,4.6
New Jersey Drive,6.9
New Nightmare,6.4
New York Cop,0
Nick of Time,6.1
Nico Icon,7.3
Night of the Living Dead,7.5
Nina Takes a Lover,7.4
Nine Months,5.5
Ninotchka,7.3
Nixon,7.1
No Escape,6.1
Nobody Loves Me,5.1
Nobody's Fool,7
North,4.8
North by Northwest,7.8
Nothing Personal,4
Nothing to Lose,0
Notorious,7.8
Now and Then,6.6
Nueba Yol,5.5
Of Human Bondage,6.4
Of Love and Shadows,4.4
Old Yeller,7
Oliver & Company,6.5
Once Upon a Time... When We Were Colored,4.5
Once Were Warriors,7.6
One Fine Day,6.1
Only You,6.4
Open Season,0
Operation Dumbo Drop,4.7
Original Gangstas,5.5
Orlando,6.7
Othello,7
Outbreak,6.4
Panther,6.4
"Paris, France",6
Party Girl,5.8
Pather Panchali,7.9
Peanuts – Die Bank zahlt alles,4
Penny Serenade,6.4
Persuasion,7.4
Pharaoh's  Army,6.3
Phat Beach,5.4
Phenomenon,6.2
Philadelphia,7.6
Picnic,6.7
Picture Bride,7.4
Pie in the Sky,7
Pinocchio,6.9
Pocahontas,6.7
Poetic Justice,6.9
Poison Ivy II: Lily,4.6
Police Story 3: Supercop,6.7
Pollyanna,6.9
Powder,6.3
Power 98,4
Prêt-à-Porter,5.3
Pretty Woman,7
Priest,6.4
Priest Daens,6.7
Primal Fear,7.4
Princess Caraboo,4.4
Project S,5.8
Pulp Fiction,8.3
Purple Noon,7.3
Pushing Hands,6.1
Quartier Mozart,5
Queen Margot,7
Quiz Show,7.1
Race the Sun,5.2
Radioland Murders,5.8
Ransom,6.4
Reality Bites,6.5
Rear Window,8.2
Rebecca,7.7
Reckless,10
"Red Firecracker, Green Firecracker",7
Red Rock West,6.4
Regular Guys,5.2
Relative Fear,4.7
Renaissance Man,5.9
Rendezvous in Paris,6.5
Rent-a-Kid,5.1
Restoration,6.3
Ri¢hie Ri¢h,5.4
Richard III,6.9
Rising Sun,5.8
Rob Roy,6.5
Robin Hood: Men in Tights,6.4
Robin Hood: Prince of Thieves,6.6
